"| [Maqetta](/wiki/Maqetta "Maqetta")";"| Preview 5 (March 28)";"| 2013";"| [IBM](/wiki/IBM "IBM")";"| [BSD](/wiki/BSD_license "BSD license") or [AFL](/wiki/Academic_Free_License"Academic Free License")"
"| [Microsoft Expression Web](/wiki/Microsoft_Expression_Web "MicrosoftExpression Web")";"| 4.0.1460.0 (December 20)";"| 2012";"| [Microsoft](/wiki/Microsoft "Microsoft")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Microsoft Office FrontPage](/wiki/Microsoft_Office_FrontPage "MicrosoftOffice FrontPage")";"| 11.0.8174 (October 21)";"| 2003";"| [Microsoft](/wiki/Microsoft "Microsoft")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Microsoft FrontPage Express](/wiki/Microsoft_FrontPage_Express "MicrosoftFrontPage Express")";"| 2.0";"| 1997";"| [Microsoft](/wiki/Microsoft "Microsoft")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| Web Architect";"| 6.9.1 (July 25)";"| 2012";"| mirabyte";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Microsoft SharePoint Designer](/wiki/Microsoft_SharePoint_Designer"Microsoft SharePoint Designer")";"| 2007 (December 4)";"| 2006";"| [Microsoft](/wiki/Microsoft "Microsoft")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Microsoft Visual Studio Code](/wiki/Visual_Studio_Code "Visual StudioCode")";"| 1.28.1 (October 11)";"| 2018";"| [Microsoft](/wiki/Microsoft "Microsoft")";"| [MIT License](/wiki/MIT_License "MIT License")"
"| [Microsoft Visual Web Developer](/wiki/Microsoft_Visual_Web_Developer"Microsoft Visual Web Developer")";"|";"| 2008";"| [Microsoft](/wiki/Microsoft "Microsoft")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Mobirise](/wiki/Mobirise "Mobirise")";"| 4.8";"| 2018";"| Mobirise.com";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Mozilla Composer](/wiki/Mozilla_Composer "Mozilla Composer")";"| 1.7.13 (April 21)";"| 2006";"| [Mozilla Foundation](/wiki/Mozilla_Foundation "Mozilla Foundation")";"| [MPL 1.1](/wiki/Mozilla_Public_License "Mozilla Public License")/[GPL2.0](/wiki/GNU_General_Public_License "GNU General Public License")/[LGPL2.1](/wiki/GNU_Lesser_General_Public_License "GNU Lesser General PublicLicense")"
"| [Nvu](/wiki/Nvu "Nvu")";"| 1.0 (June 28)";"| 2005";"| [Linspire](/wiki/Linspire "Linspire") / [DanielGlazman](/wiki/Daniel_Glazman "Daniel Glazman")";"| [MPL 1.1](/wiki/Mozilla_Public_License "Mozilla Public License")/[GPL2.0](/wiki/GNU_General_Public_License "GNU General Public License")/[LGPL2.1](/wiki/GNU_Lesser_General_Public_License "GNU Lesser General PublicLicense")"
"| [openElement](/wiki/OpenElement "OpenElement")";"| 1.44 (January 21)";"| 2014";"| openElement";"| [Apache License 2.0](/wiki/Apache_License_2.0 "Apache License 2.0")"
"| [OpenOffice.org](/wiki/OpenOffice.org "OpenOffice.org")";"| 4.1.5 (October 19)";"| 2017";"| [Apache Foundation](/wiki/Apache_Software_Foundation "Apache SoftwareFoundation")";"| [Mozilla Public License](/wiki/Mozilla_Public_License "Mozilla PublicLicense")/[Apache License 2.0](/wiki/Apache_License_2.0 "Apache License2.0")/others"
"| [oXygenXML Editor](/wiki/Oxygen_XML_Editor "Oxygen XML Editor")[2]";"| 17.1 (October)";"| 2015";"| [Syncro Soft](/w/index.php?title=Syncro_Soft&action=edit&redlink=1 "SyncroSoft \(page does not exist\)")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software") (somecomponents [Apache License 2.0](/wiki/Apache_License_2.0 "Apache License2.0"))"
"| [Quanta Plus](/wiki/Quanta_Plus "Quanta Plus")";"| 3.5.9 (February 20)";"| 2008";"| The Quanta Team";"| [GPL](/wiki/GPL "GPL")"
"| [RocketCake](/wiki/RocketCake "RocketCake")";"| 1.4";"| 2017";"| Ambiera";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [SeaMonkey](/wiki/SeaMonkey "SeaMonkey") Composer";"| 2.53.1 (February 28)";"| 2020";"| SeaMonkey Council";"| [MPL](/wiki/Mozilla_Public_License "Mozilla Public License")"
"| [TextMate](/wiki/TextMate "TextMate")";"| 2.0 Preview (August 12)";"| 2012";"| [Macromates](/w/index.php?title=Macromates&action=edit&redlink=1 "Macromates\(page does not exist\)")";"| [GPL](/wiki/GNU_General_Public_License "GNU General Public License")"
"| [TOWeb](/wiki/TOWeb "TOWeb")";"| 5.07 (July 28)";"| 2013";"| Lauyan Software";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [WebStorm](/wiki/WebStorm "WebStorm") IDE";"| 7.0 (September 26)";"| 2013";"| [JetBrains](/wiki/JetBrains "JetBrains")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| Editor";"| Version";"| Year";"| Creator";"| [Software license](/wiki/Software_license "Software license")"
