"Aspect";"| Esperanto";"| Ido";"| Example"
"| Alphabet";"| uses [diacritics](/wiki/Diacritics "Diacritics")  (ĉ, ĝ, ĥ, ĵ, ŝ, ŭ)  and a digraph  (dz)";"| uses [digraphs](/wiki/Digraph_\(orthography\) "Digraph \(orthography\)")  (ch, sh, qu)";"| Translation of "chamber", "shoe", and "square":   _ **ĉ** ambro_ / _**ŝ** uo_ / _**kv** adrato_ (Esp.)   _ **ch** ambro_ / _**sh** uo_ / _**qu** adrato_ (Ido)"
"| Gender";"| masculine by default;  feminine optional";"| gender-neutral by default;  masculine and  feminine optional";"| Gender of "elephant":   _elefanto_ (default) / _elefantino_ (fem.) (Esp.)   _elefanto_ (default) / _elefantulo_ (masc.) / _elefantino_ (fem.) (Ido)"
"| Antonyms";"| formed by _mal-_ prefix";"| come from  natural vocabulary";"| Translation of "warm" and "cold":   _varma_ / _**mal** varma_ (Esp.)   _varma_ / _kolda_ (Ido)"
"| Infinitives";"|  _-i_ suffix";"|  _-ar_ suffix";"| Translation of "to go":   _ir **i**_ (Esp.)   _ir **ar**_ (Ido)"
"| Imperative";"|  _-u_ suffix";"|  _-ez_ suffix";"| Translation of "go!":   _ir **u**!_ (Esp.)   _ir **ez**!_ (Ido)"
"| Plural noun";"|  _-oj_ suffix  ([agglutinative](/wiki/Agglutinative "Agglutinative"))";"|  _-i_ suffix  (synthetic)";"| Plural of _domo_ ("house"):   _dom **oj**_ (Esp.)   _dom **i**_ (Ido)"
"| Adjectives";"| Agree with nouns";"| Not declined";"| Translation of "big dogs":   _granda **j** hundoj_ (Esp.)   _granda hundi_ (Ido)"
"| Accusative  form";"| Mandatory";"| Only when object  precedes subject";"| Translation of "I drink milk" / "I milk drink":  "mi trinkas lakto **n** " / "mi lakton trinkas" (Esp.)  "me drinkas lakto" / "me lakton drinkas" (Ido)"
"| Proper  nouns";"| Sometimes rendered";"| Never rendered";"| Translation of "Europe":   _Eŭropo_ (Esp.)   _Europa_ (Ido)"
"| No. of  speakers";"| c. 100,000–2,000,000";"| c. 100–1,000";"|"
