;Relative and
interrogative;Demonstrative;Indeterminate;Most
Indeterminate;Negative;Collective;Esperanto;Ido;Esperanto;Ido;Esperanto;Ido;Ido;Esperanto;Ido;Esperanto;Ido;ki-;qua, ∅;ti-;ita, ∅;i-;ula, ∅;irga;neni-;nula;ĉi-;omna;Individual;Esperanto;-u;Ido;-u;Thing;Esperanto;-o;Ido;-o;Plural;Esperanto;-j;Ido;-i;Adjective;Ido;-a;Motive;Esperanto;-al;Ido;pro;Association;Esperanto;-es;Ido;di;Place;Esperanto;-e;Ido;loke;Time;Esperanto;-am;Ido;tempe;Quality;Esperanto;-a;Ido;-a, speca;Manner;Esperanto;-el;Ido;-e, maniere;Quantity –
adjective;Esperanto;-om;Ido;quanta
kiu;tiu;iu;neniu;ĉiu
qua;ita;ulu;irgu;nulu;omnu
kio;tio;io;nenio;ĉio
quo;ito;ulo;irgo;nulo;omno
kiuj/kioj;tiuj/tioj;iuj/ioj;neniuj/nenioj;ĉiuj/ĉioj
qui;iti;uli;irgi;nuli;omni
qua;ita;ula;irga;nula;omna
kial;tial;ial;nenial;ĉial
pro quo;pro to;pro ulo;pro irgo;pro nulo;pro omno
kies;ties;ies;;nenies;ĉies
di quo;di to;di ulo;di irgo;di nulo;di omno
kie;tie;ie;nenie;ĉie
ube;ibe;ulaloke;irgaloke;nulaloke;omnaloke
kiam;tiam;iam;neniam;ĉiam
kande;lore;ulatempe;irgatempe;nulatempe;omnatempe, sempre
kia;tia;ia;nenia;ĉia
quala;tala;ulaspeca;irgaspeca;nulaspeca;omnaspeca
kiel;tiel;iel;neniel;ĉiel
quale;tale;ule, ulamaniere;irge, irgamaniere;nule, nulamaniere;omne, omnamaniere
kiom;tiom;iom;neniom;ĉiom
quanta;tanta;kelka;irgaquanta;nulaquanta;omnaquanta
